word	occu	freq-per-mill	usual	rank	racio
foi	1	265.96	26525.20	35	0.01
os	1	265.96	48309.18	18	0.01
!	2	531.91	24570.02	38	0.02
...	1	265.96	17035.78	56	0.02
2	1	265.96	8216.93	119	0.03
apenas	1	265.96	8496.18	115	0.03
cada	1	265.96	9372.07	104	0.03
sobre	2	531.91	17331.02	55	0.03
trabalho	1	265.96	8643.04	113	0.03
além	1	265.96	5998.80	164	0.04
aqui	1	265.96	7007.71	140	0.04
ela	7	1861.70	44198.96	98	0.04
meio	1	265.96	6261.74	157	0.04
quem	1	265.96	7593.01	129	0.04
nem	1	265.96	5473.45	180	0.05
processo	1	265.96	5136.11	192	0.05
dentro	1	265.96	4224.76	234	0.06
país	1	265.96	4768.72	207	0.06
segundo	1	265.96	4814.64	205	0.06
tão	1	265.96	4593.48	215	0.06
grupo	1	265.96	3988.83	248	0.07
local	1	265.96	4004.81	247	0.07
qual	2	531.91	7955.45	123	0.07
região	1	265.96	3777.86	262	0.07
tempo	3	797.87	11402.51	85	0.07
vida	3	797.87	10787.49	90	0.07
algo	1	265.96	3487.97	284	0.08
como	9	2393.62	31545.74	29	0.08
espaço	1	265.96	3167.56	313	0.08
este	2	531.91	6680.03	83	0.08
hora	1	265.96	3359.09	346	0.08
onde	3	797.87	10559.66	92	0.08
se	11	2925.53	37453.18	24	0.08
sem	4	1063.83	13037.81	74	0.08
fora	1	265.96	3042.29	326	0.09
cerca	1	265.96	2712.23	366	0.10
maneira	1	265.96	2704.90	367	0.10
pouco	2	531.91	5414.19	182	0.10
volta	1	265.96	2661.70	373	0.10
ele	10	2659.57	23242.56	62	0.11
história	2	531.91	4933.40	200	0.11
tal	1	265.96	2489.42	399	0.11
toda	2	531.91	4957.86	199	0.11
entanto	1	265.96	2223.70	447	0.12
lado	2	531.91	4430.66	223	0.12
logo	1	265.96	2142.70	464	0.12
todo	5	1329.79	11287.58	131	0.12
tudo	4	1063.83	8952.55	109	0.12
apoio	1	265.96	1935.36	514	0.14
construção	1	265.96	1852.88	537	0.14
estudo	1	265.96	1909.49	521	0.14
isto	1	265.96	1863.24	534	0.14
linha	1	265.96	1927.90	516	0.14
ainda	8	2127.66	14144.27	68	0.15
ajudar	1	265.96	1780.31	559	0.15
até	9	2393.62	16207.46	59	0.15
com	38	10106.38	68027.21	12	0.15
jogo	2	531.91	3549.88	279	0.15
ou	16	4255.32	28011.20	33	0.15
para	42	11170.21	72992.70	11	0.15
por	20	5319.15	34353.74	22	0.15
você	10	2659.57	17636.68	54	0.15
9	1	265.96	1629.46	611	0.16
Boa	2	531.91	3336.67	1870	0.16
filho	1	265.96	1690.05	500	0.16
força	1	265.96	1707.36	583	0.16
bem	9	2393.62	13947.00	69	0.17
idade	1	265.96	1541.54	646	0.17
manhã	1	265.96	1536.81	648	0.17
nome	3	797.87	4679.46	211	0.17
seguinte	1	265.96	1573.07	633	0.17
atividade	1	265.96	1518.14	656	0.18
depois	5	1329.79	7209.81	136	0.18
mais	24	6382.98	36101.08	25	0.18
nada	3	797.87	4490.35	220	0.18
natural	1	265.96	1495.44	666	0.18
outubro	1	265.96	1515.84	657	0.18
receber	1	265.96	1462.63	681	0.18
tipo	3	797.87	4450.38	222	0.18
alto	1	265.96	1399.19	712	0.19
fase	1	265.96	1435.34	694	0.19
oportunidade	1	265.96	1376.08	724	0.19
vez	4	1063.83	5503.58	108	0.19
.	131	34840.43	175438.60	3	0.20
17	1	265.96	1351.90	737	0.20
Carlos	1	265.96	1311.13	760	0.20
e	114	30319.15	149253.73	4	0.20
futebol	1	265.96	1300.90	766	0.20
janeiro	1	265.96	1346.44	740	0.20
junho	1	265.96	1357.40	734	0.20
quando	10	2659.57	13568.52	71	0.20
terra	1	265.96	1350.07	738	0.20
21	1	265.96	1280.90	778	0.21
grande	6	1595.74	7500.17	116	0.21
ninguém	1	265.96	1267.91	786	0.21
seu	18	4787.23	22409.71	42	0.21
baixo	1	265.96	1233.50	808	0.22
eles	9	2393.62	11113.57	152	0.22
gosto	1	265.96	1203.80	828	0.22
ano	10	2659.57	11812.28	93	0.23
diferente	2	531.91	2297.66	606	0.23
especial	2	531.91	2279.46	436	0.23
pessoa	7	1861.70	8107.66	244	0.23
semana	3	797.87	3463.80	286	0.23
tomar	1	265.96	1135.46	878	0.23
2009	1	265.96	1101.69	905	0.24
acontecer	1	265.96	1093.25	1427	0.24
domingo	1	265.96	1123.97	887	0.24
favor	1	265.96	1096.85	909	0.24
nenhum	1	265.96	1129.05	624	0.24
sábado	1	265.96	1111.48	897	0.24
mudança	1	265.96	1081.43	922	0.25
época	2	531.91	2111.04	471	0.25
,	356	94680.85	370370.37	0	0.26
