Trecho,Palavras,Blocos,Positivos,Negativos,Diferença (Pos - Neg),Dif/Palavras,Média Estrelas
1,16,2,2,0,2,0.125,5.0
2,157,16,6,6,0,0.0,3.06
3,234,24,10,10,0,0.0,3.08
4,184,19,9,7,2,0.0109,3.21
5,216,22,8,8,0,0.0,3.05
6,177,18,11,6,5,0.0282,3.72
7,1,1,0,0,0,0.0,3.0
8,242,25,4,11,-7,-0.0289,2.76
9,266,27,14,9,5,0.0188,3.48
10,1,1,0,0,0,0.0,3.0
11,92,10,4,3,1,0.0109,3.1
12,281,29,11,10,1,0.0036,3.17
13,143,15,12,3,9,0.0629,4.2
14,3,2,1,1,0,0.0,2.5
15,337,34,10,15,-5,-0.0148,2.82
16,322,33,16,10,6,0.0186,3.39
17,1,1,0,0,0,0.0,3.0
18,14,2,2,0,2,0.1429,5.0
